,Title,Artist,Album,Audio_Filename,Lyrics,Category,Cluster
104,Mickey,"Basil, Toni",Best of Toni Basil: Mickey & Other Love Songs,128.mp3,"Oh, Mickey, you're so fine
You're so fine you blow my mind
Hey, Mickey
Hey, Mickey

Oh, Mickey, you're so fine
You're so fine you blow my mind
Hey, Mickey
Hey, Mickey

Oh, Mickey, you're so fine
You're so fine you blow my mind
Hey, Mickey

Hey, Mickey
You've been around all night
And that's a little long
You think you've got the right
But I think you've got it wrong
Why can't you say goodnight
So you can take me home, Mickey

'Cause when you say you will
It always means you won't
You're givin' me the chills, baby
Please, baby don't
Every night you still leave me alone, Mickey

Oh, Mickey, what a pity
You don't understand
You take me by the heart
When you take me by the hand
Oh, Mickey, you're so pretty
Can't you understand
It's guys like you, Mickey
Oh, what you do, Mickey, do, Mickey
Don't break my heart, Mickey

Hey, Mickey

Now when you take me by the hooves
Who's ever gonna know
And every time you move
I let a little more show
There's something you can use
Wo don't say no, Mickey

So come on and give it to me anyway you can
Anyway you want to do it
I'll take it like a man
Oh, please baby, please
Don't leave me in the damn, Mickey

Oh, Mickey, what a pity
You don't understand
You take me by the heart
When you take me by the hand
Oh, Mickey, you're so pretty
Can't you understand
It's guys like you, Mickey
Oh, what you do, Mickey, do, Mickey
Don't break my heart, Mickey

Oh, Mickey, you're so fine
You're so fine, you blow my mind
Hey, Mickey, hey, Mickey
Oh, Mickey, you're so fine
You're so fine, you blow my mind
Hey, Mickey, hey, Mickey
Oh, Mickey, you're so fine
You're so fine, you blow my mind
Hey, Mickey

Oh, Mickey, what a pity
You don't understand
You take me by the heart
When you take me by the hand
Oh, Mickey, you're so pretty
Can't you understand
It's guys like you, Mickey
Oh, what you do, Mickey, do, Mickey
Don't break my heart, Mickey

Oh, Mickey, what a pity
You don't understand
You take me by the heart
When you take me by the hand
Oh, Mickey, you're so pretty
Can't you understand
It's guys like you, Mickey
Oh, what you do, Mickey, do, Mickey
Don't break my heart, Mickey

Oh, Mickey, what a pity
You don't understand
You take me by the heart
When you take me by the hand
Oh, Mickey, you're so pretty
Can't you understand
It's guys like you, Mickey
Oh, what you do, Mickey, do, Mickey
Don't break my heart, Mickey
 ",Passionate,Cluster 1
105,More Than a Feeling,Boston,Boston,129.mp3,"I looked out this morning and the sun was gone 
Turned on some music to start my day
I lost myself in a familiar song
I closed my eyes and I slipped away

It's more than a feeling, when I hear that old song they used to play (more than a feeling)
I begin dreaming (more than a feeling)
'Til I see Marianne walk away
I see my Marianne walkin' away

So many people have come and gone
Their faces fade as the years go by
Yet I still recall as I wander on
As clear as the sun in the summer sky

It's more than a feeling, when I hear that old song they used to play (more than a feeling)
I begin dreaming (more than a feeling)
'Til I see Marianne walk away
I see my Marianne walkin' away

When I'm tired and thinking cold
I hide in my music, forget the day
And dream of a girl I used to know
I closed my eyes and she slipped away
She slipped away. She slipped away. 

It's more than a feeling, when I hear that old song they used to play (more than a feeling)
I begin dreaming (more than a feeling)
'Til I see Marianne walk away
I see my Marianne walkin' away
 ",Passionate,Cluster 1
106,One Way,Levellers,Levelling the Land,131.mp3,"There's only one way of life
And that's your own your own your own

My father when I was younger 
Took me up on to the hill 
That looks down on the city smog 
And above the factory spill 
He said now this is where I come 
When I wanted to be free 
but he never was in his lifetime 
But these words stuck with me hey

And so I ran from all of this 
And I climbed that highest hill 
I looked down on to my life 
Above the factory spill 
I looked down onto my life 
As the family disgrace 
Then all my friends on the starting line 
Their wages off to chase 
Yes and all my friends and all their jobs 
All the bloody waste 

CHORUS 

Well well when I grew up, 
learned to love and laugh 
Circled A's on the underpass 
The noise we thought would never stop 
Died a death when the punks grew up 
And we choked on all our dreams 
We resalled all our fears 
Running through the heartless concrete streets 
Chasing our ideas Run
And all the problems of the world 
Won't be solved by this guitar 
And they won't stop coming either 
By the life I've had so far 
And the bright lights of my home town 
Won't be getting any dimmer 
Though their calling has receded 
Like some old distant singer 
And they don't look so appealing 
To the eyes of this poor sinner 

CHORUS
 ",Passionate,Cluster 1
107,Rescue Me,"Bass, Fontella",Rescued: The Best of Fontella Bass,133.mp3,"Rescue me
Take me in your arms
Rescue me
I want your tender charm
'Cause I'm lonely
And I'm blue
I need you
And your love too
Come on and rescue me

Come on, baby, and rescue me
Come on, baby, and rescue me
'Cause I need you by my side
Can't you see that I'm lonely

Rescue me
Come on and take my heart
Take your love and conquer every part
'Cause I'm lonely
And I'm blue
I need you
And your love too
Come on and rescue me

Come on, baby, and rescue me
Come on, baby, and rescue me
'Cause I need you by my side
Can't you see that I'm lonely

Rescue me
Take me in your arms
Rescue me
I want your tender charm
'Cause I'm lonely
And I'm blue
I need you
And your love too
Come on and rescue me

(Come on baby)
Take me baby (take me baby)
Hold me baby (hold me baby)
Love me baby (love me baby)
Can't you see I need you baby
Can't you see that I'm lonely

Rescue me
Come on and take my hand
C'mon, baby and be my man
'Cause I love you
'Cause I want you
Can't you see that I'm lonely

Mmm-hmm (mmm-hmm)
Mmm-hmm (mmm-hmm)
Take me baby (take me baby)
Love me baby (love me baby)
Need me baby (need me baby)
Mmm-hmm (mmm-hmm)
Can't you see that I'm lonely
 ",Passionate,Cluster 1
108,"Rock & Roll, Pt. 2","Glitter, Gary",Rock and Roll: Gary Glitter's Greatest Hits,134.mp3,"Ba na na na, hey! Ba na na.

Ba na na na, hey! Ba na na.

Ba na na na, hey! Ba na na.



Chakachaka chakachaka chaka...

(""Go team!"" substituting whichever team they are rooting for) [Repeats]",Rousing,Cluster 1
109,Rockin' Down the Highway,Doobie Brothers,Toulouse Street,135.mp3,"Got those highway blues, can't you hear my motor runnin'
Flyin' down the road with my foot on the floor
All the way in town they can hear me comin'
Ford's about to drop, she won't do no more
And i smell my motor burnin'
Underneath the hood is smoke
Can't stop, and i can't stop
Got to keep on movin' or i'll lose my mind

Oh, rockin' down the highway
Oh, rockin' down the highway
Oh, rockin' down the highway
Oh, rockin' down the highway

The highway patrol got his eyes on me
I know what he's thinkin' and it ain't good
I'm movin' so fast he can barely see me
Gonna lose that man, i know i should
I gotta kick in my pedal
Make my ford move a little bit faster
Can't stop, and i can't stop
Got to keep on movin' or i'll lose my mind

Oh, rockin' down the highway
Oh, rockin' down the highway
Oh, rockin' down the highway
Oh, rockin' down the highway
 ",Rousing,Cluster 1
110,Boys Are Back in Town,Thin Lizzy,Jailbreak,137.mp3,"Guess who just got back today
Them wild-eyed boys, that'd been away
Haven't changed, had much to say
But man I still think them cats are great

They were asking if you were around
How you was, where you could be found
Told them you were living downtown
Driving all the old men crazy

The Boys are back in town (The boys are back in town)
(I Said) The boys are back in town
The boys are back in town
The boys are back in town (The boys are back in town)
The boys are back in town (The boys are back in town)

You know that chic who used to dance a lot?
Every night she'd be on the floor, shakin' what she got
Man when I tell you she was cool she was red hot
I mean she was steamin'

And that time over at Johnny's place
Well this chic got up and slapped Johnny's face
Man we just fell about the place
What that chic don't wanna know forget 'er

The boys are back in town (The boys are back in town)
(I said) The boys are back in town
The boys are back in town
The boys are back in town (The boys are back in town)
The boys are back in town (The boys are back in town)

Spread the word around
Guess who's back in town
You spread the word around

Friday night they'll be dressed to kill
Down at Dino's bar and grill
The drinks will flow and blood would spill
If the boys wanna fight you better let 'em

That kid rocks down at the corner blasting out my favourite song
The nights are getting warmer and won't be long
Wont be long till the summer comes
Now that the boys are here again

The boys are back in town (the boys are back in town)
The boys are back in town (the boys are back in town)
The boys are back in town (the boys are back in town)
(Spread the word around)
The boys are back in town (The boys are back in town)
(The boys are back, the boys are back)

The boys are back in town again
They're hanging out at Dino's
The boys are back in town again
 ",Rousing,Cluster 1
111,We Will Rock You,Queen,Greatest Hits [Hollywood],138.mp3,"Buddy you're a boy make a big noise 
Playing in the street gonna be a big man some day
You got mud on yo' face, you big disgrace 
Kicking your can all over the place 

Singing 
We will we will rock you
We will we will rock you 

Buddy you're a young man hard man 
Shouting in the street gonna take on the world some day
You got blood on yo' face, you big disgrace 
Waving your banner all over the place 

We will we will rock you 
We will we will rock you 

Buddy you're an old man poor man 
Pleading with your eyes gonna make you some peace some day
You got mud on your face, you big disgrace 
Somebody better put you back into your place 

We will we will rock you... singing 
We will we will rock you... everybody 
We will we will rock you
We will we will rock you
 ",Rousing,Cluster 1
112,We're an American Band,Grand Funk Railroad,Capitol Collectors Series,139.mp3,"On the road for forty days,
Last night in Little Rock put me in a haze.
Sweet, sweet Connie -- doin' her act,
She had the whole show and that's a natural fact.
Up all night with Freddy King,
I got to tell you poker's his thing.
A-booze 'n ladies keep me right,
As long as we can make it to the show tonight.

CHORUS
We're an American band.
We're an American band.
We're coming to your town, we'll help you party it down.
We're an American band.

Four young chaquitas in Omaha,
Was waitin' for the band to return from the show.
Feelin' good, feelin' right, it's Saturday night,
The hotel detective -- he was out-a-sight.
Now, these fine ladies, they had a plan,
They was out to meet the boys in the band.
They said, ""Come on, dudes, let's get it on,""
And we proceeded to tear that hotel down.

CHORUS

CHORUS

CHORUS

CHORUS

We're an American Band, Ooo-ooo.
We're an American Band, Ooo-ooo.
We're an American Band, Ooo-ooo.
 ",Rousing,Cluster 1
113,Welcome to the Terrordome,Public Enemy,Fear of a Black Planet,140.mp3,"I got so much trouble on my mind
        I refuse to lose
        Here's your ticket
        Hear the drummer get wicked
        The crew to you to push the back to Black
        Attack so I sat and japped
        Then slapped the Mac(Intosh)
        Now I'm ready to mike it
        (You know I like it) huh
        Hear my favoritism roll ""Oh""
        Never be a brother like to go solo
        Lazer, anastasia, maze ya
        Ways to blaze your brain and train ya
        The way I'm livin', forgiven'
        What I'm givin' up
        X on the flex hit me now
        I don't know about later
        As for now I know how to avoid the paranoid
        Man I've had it up to here
        Gear I wear got 'em goin' in fear
        Rhetoric said
        Read just a bit ago
        Not quittin' though
        Signed the hard rhymer
        Work to keep from gettin' jerked
        Changin' some ways
        To way back in the better days
        Raw metaphysically bold
        Never followed a code
        Still dropped a load
        Never question what I am God knows
        Cause it's comin' from the heart
        What I got better get some
        (Get on up) hustler of culture
        Snakebitten
        Been spit in the face
        But the rhymes keep fittin'
        Respects been givin' how's ya livin'
        Now I can't protect a pad off defect
        Check the record
        An reckon an intentional wreck
        Played off as some intellect
        Made the call, took the fall
        Broke the laws
        Not my fault they're fallin' off
        Known as fair square
        Throughout my years
        So I growl at the livin' foul
        Black to the bone my home is your home
        So welcome to the Terrordome
        Subordinate terror
        Kickin' off an era
        Cold deliverin' pain
        My 98 was 87 on a record yo
        So now I go Bronco

        Crucifixion ain't no fiction
        So called chosen frozen
        Apology made to who ever pleases
        Still they got me like Jesus
        I rather sing, bring, think reminisce
        'Bout a brother while I'm in sync
        Every brother ain't a brother cause a color
        Just as well could be undercover
        Backstabbed, grabbed a flag
        From the back of the lab
        Told a Rab get off the rag
        Sad to say I got sold down the river
        Still some quiver when I deliver
        Never to say I never know or had a clue
        Word was heard, plus hard on the boulevard
        Lies, scandalizin', basin'
        Traits of hate who's celebratin' wit satan?
        I rope a dope the evil with righteous
        Bobbin' and weavin' and let the good get even
        c'mon down
        And welcome to the Terrordome.
        Caught in the race against time
        The pit and the pendulum
        Check the rhythm and rhymes
        While I'm bendin' 'em
        Snakes blowin' up the lines of design
        Tryin' to blind the science I'm snedin' 'em
        How to fight the power
        Cannot run and hide
        But it shouldn't be suicide
        In a game a fool without the rules
        Got a hell of a nerve to just criticize
        Every brother ain't a brother
        Cause a Black hand
        Squeezed on Malcom X the man
        The shootin' of Huey Newton
        From a hand of a Nigger who pulled the trigger

        It's weak to speak and blame somebody else
        When you destroy yourself
        First nothing's worse than a mother's pain
        Of a son slain in Bensonhurst
        Can't wait for the state to decide the fate
        So this jam I dedicate
        Places with racist faces
        Just an example of one of many cases
        The Greek weekend speech I speak
        From a lesson learned in Virginia (Beach)
        I don't smile in the line of fire
        I go wildin'
        But it's on bass and drums even violins
        Watcha do gitcha head ready
        Instead of gettin' physically sweaty
        When I get mad
        I put it down on a pad
        Give ya somethin' that cha never had controllin'
        Fear of high rollin'
        God bless your soul and keep livin'
        Never allowed, kickin' it loud
        Droppin' a bomb
        Brain game intellectual Vietnam
        Move as a team
        Never move alone
        But
        Welcome to the Terrordome
 ",Rousing,Cluster 1
114,30 Days in the Hole,Humble Pie,"Classics, Vol. 14",142.mp3,"Roll my tape 

Ooh, ooh, ooh 
(Gimme) Thirty days... 
Anyone doin' that one? 
Which one...?  Thirty...
I'm doin' it... 

30 days in the hole (yeah, that's nice) 
30 days in the hole 
30 days in the hole (Lord, have mercy...) 

Oh,yeah... (come on in, man, that's it. Yeah, right...)

(All right, all right, all right, all right, yeah) 

Chicago Green, talkin' 'bout Black Lebanese 
A dirty room and a silver coke spoon 
Give me my release, come on 
Black napalese, it's got you weak in your knees 
Sneeze some dust that you got buzzed on 
You know it's hard to believe 

30 days in the hole  (Oh, yeah...) 
30 days in the hole 
30 days in the hole 
That's what they give you 
30 days in the hole 
I know 

Newcastle Brown, I'm tellin' you, can sure smack you down 
Take a greasy whore and a rollin' dance floor 
It's got your head spinnin' round 
If you live on the road, well there's a new highway code 
You take the urban noise with some Durban Poison
It's gonna lessen your load 

30 days in the hole 
That's what they give you now 
30 days in the hole 
Oh, yeah 
30 days in the hole 
All right, all right 
30 days in the hole 

[Solo - break]

How you doin' boy? 
You here for 30 days... 
Get, get, get your long hair cut 
And cut out your ways... 

Black napalese, it got you weak in your knees 
Gonna sneeze some dust that you got busted on 
You know it's so hard to please 
Newcastle Brown can surely smack you down 
You take a greasy whore and a rollin' dance floor 
You know you're jailhouse-bound 

30 days in the hole  (Oh, yeah...) 
30 days in the hole 
30 days in the hole  (Oh, yeah...) 
30 days in the hole 
30 days, 30 days in this hole 
30 days in the hole 
30 days in the hole 
30 days in the hole 
[Repeat to Fade Out]
 ",Rousing,Cluster 1
115,All Kindsa Girls,Real Kids,Real Kids,143.mp3,"Baby gave us away today.
She broke my heart. I can't beg her to stay this time.
I wanna go right out and find a girl.
It's been a long time and I'm seeing the world
Through different eyes, through different eyes.
Oh baby, I ain't begging but I feel like dancing
And would you let a city boy
Hold hands with you? I wanna get to know you.
I never thought of myself as tied down,
But I was so much in love.
It was good that she put me down,
I need someone new, someone who's
Gonna make my heart jump the way she usta do.

All kindsa girls, all kindsa girls.

I think I'm falling in love again.

All kindsa girls, all kindsa girls.

They make me glad I'm a man, I said.

All kindsa girls, all kindsa girls.

I feel so good, that's right!

I take a green eyed girl, she's going to the square,
I'll take a chance, although I ain't going nowhere.
But I wanna go, I wanna go too.
I'll take a northern girl when her parents ain't home
We watching TV and we're all alone
And I wanna know all kindsa girls.
I never thought I'd see the day she'd turn her back on me.
But my baby get's her way today.
I need someone new, someone who's
Gonna make my heart jump the way she usta do.

All kindsa girls, all kindsa girls.

I'm falling in love again.

All kindsa girls, all kindsa girls.

You know I'm glad I'm a man, I said.

All kindsa girls, all kindsa girls.

I feel so good inside

All kindsa girls, all kindsa girls.

baby, I have just the feel alive


All kindsa girls, all kindsa girls.

I'm falling in love again.

All kindsa girls, all kindsa girls.

I'm glad I'm a man, I said.

All kindsa girls, all kindsa girls.

I feel so good, inside

All kindsa girls, all kindsa girls.

You know I have just the feel alive 

All kindsa girls, all kindsa girls.

I'm falling in love again.

All kindsa girls, all kindsa girls.

I'm glad I'm a man, I said.

All kindsa girls, all kindsa girls.

I feel so good, inside

All kindsa girls, all kindsa girls.

You know I have just the feel alive
 ",Rousing,Cluster 1
116,Bad Reputation,"Jett, Joan & The Blackhearts",Fit to Be Tied: Great Hits by Joan Jett and the Blackhearts,144.mp3,"I don't give a damn 'bout my reputation
You're living in the past it's a new generation
A girl can do what she wants to do and that's
What I'm gonna do
An' I don't give a damn ' bout my bad reputation

Oh no not me

An' I don't give a damn 'bout my reputation
Never said I wanted to improve my station
An' I'm only doin' good
When I'm havin' fun
An' I don't have to please no one
An' I don't give a damn
'Bout my bad reputation

Oh no, not me
Oh no, not me

I don't give a damn
'Bout my reputation
I've never been afraid of any deviation
An' I don't really care
If ya think I'm strange
I ain't gonna change
An' I'm never gonna care
'Bout my bad reputation

Oh no, not me
Oh no, not me

Pedal boys!

An' I don't give a damn
'Bout my reputation
The world's in trouble
There's no communication
An' everyone can say
What they want to say
It never gets better anyway
So why should I care
'Bout a bad reputation anyway
Oh no, not me
Oh no, not me

I don't give a damn 'bout my bad reputation
You're living in the past
It's a new generation
An' I only feel good
When I got no pain
An' that's how I'm gonna stay
An' I don't give a damn
'Bout my bad reputation

Oh no, not me
Oh no, not
Not me, not me
 
",Rousing,Cluster 1
117,Bastards of Young,Replacements,Tim,145.mp3,"God, what a mess, on the ladder of success   
Where you take one step and miss the whole first rung              
Dreams unfulfilled, graduate unskilled         
It beats pickin' cotton and waitin' to be forgotten

We are the sons of no one, bastards of young
We are the sons of no one, bastards of young       
The daughters and the sons

Clean your baby womb, trash that baby boom
Elvis in the ground, there'll ain't no beer tonight
Income tax deduction, what a hell of a function 
It beats pickin' cotton and waitin' to be forgotten

We are the sons of no one, bastards of young
We are the sons of no one, bastards of young
The daughters and the sons

Unwillingness to claim us, ya got no word (war?) to name us

The ones who love us best are the ones we'll lay to rest
And visit their graves on holidays at best           
The ones who love us least are the ones we'll die to please
If it's any consolation, I don't begin to understand them

We are the sons of no one, bastards of young
We are the sons of no one, bastards of young
The daughters and the sons

Young...take it, it's yours...
 ",Rousing,Cluster 1
118,Cherry Bomb,Runaways [1],Best of the Runaways,147.mp3,"(J. Jett/K. Fowley)

Can't stay at home, can't stay at school
Old folks say, ya poor little fool
Down the street I'm the girl next door
I'm the fox you've been waiting for 

Hello Daddy, hello Mom
I'm your ch ch ch ch ch cherry bomb
Hello world I'm your wild girl
I'm your ch ch ch ch ch cherry bomb

Stone age love and strange sounds too
Come on baby let me get to you
Bad nights cause'n teenage blues
Get down ladies you've got nothing to lose 

Hello Daddy, hello Mom
I'm your ch ch ch ch ch cherry bomb
Hello world I'm your wild girl
I'm your ch ch ch ch ch cherry bomb

Hey street boy whats your style
Your dead end dreams don't make you smile
I'll give ya something to live for
Have ya, grab ya til your sore 

Hello Daddy, hello Mom
I'm your ch ch ch ch ch cherry bomb
Hello world I'm your wild girl
I'm your ch ch ch ch ch cherry bomb
 ",Rousing,Cluster 1
119,Cowboy,Kid Rock,Devil Without a Cause,148.mp3,"You can do anything you choose
Well I'm gonna be the man gonna sing them blues
Red, white and blue down to the bone
You don't like that then take your punk ass home

'Cause I'mma kid rock it up and down your block
With a bottle of scotch and watch lots of crotch
Buy a yacht with a flag sayin chillin the most
(rock that bitch up and down the coast)

You can tell all the critics I'm back from the dead
And fuck Clay Aiken and Radiohead
And if Britney Spears wants a kiss that lasts
Well you can tell her and Madonna they can kiss my ass

And I bet these people never thought they'd see
Little hip-hop, rock and roll, country, soul getting it on at Cobo home in Detroit City

And you know my name and I'm the real mccoy
Name's Kid Rock said I'm the real mccoy
 ",Rousing,Cluster 1
120,Detroit Breakdown,"Geils, J. Band",Blow Your Face Out,149.mp3,"The music is blastin we're havin a ball
everybodys doin it right in the hall 
plaster is falling right on the floor
were tearing it up and thats for shore

doin the Detroit Breakdown oh motor city shake down
i'was doin the Detroit Breakdown I said the motor city shake down

jumpin toes and everything goes 
hot night sweatin right in your clothes
how bittersweet for dancin feet 
everybodys in their stockings right in the street

were doin the Detroit Breakdown I said the motor city shake down
aow Detroit Breakdown the motor city shake down

I'm loosin touch I'm feeling no pain 
Everything is headin right down the drain
I'm gettin quesey head starts to swell
I'm past my limit honey I don't care 

doin the Detroit Breakdown oh the motor city shake down
aahhh Detroit Breakdown oh motor city shake down
Breakdown   Yea   Come on  wow   do it

if your goin out do those things with the band 
don't get caught baby right in my pad 
station to station what you got 
I'm gettin ready man to blow my top   I say yea

harp Solo /  break

Hat on my head and i'm holdin my cane 
Jumpin up and crazy i'm goin insane
I got something mean stickin in my pocket
untill you tried it you beter not knock it

doin the Detroit Breakdown oh the motor city shake down
aow Detroit Breakdown your doin the motor city shake down

Let me hear you Conrad

Guitar

Detroit Breakdown I said the motor city shake down
aow Detroit Breakdown oh the motor city shake down
com on baby now do the Detroit Breakdown ya hear it your doin the motor city shake down 
a let me see ya baby do the Detroit Breakdown oh the motor city shake down
shake it shake it baby yea wow 

oh your doin the Detroit Breakdown ahh motor city shake down
doin the Detroit Breakdown motor city shake down 
doin it waw your doin it doin it waahhhh doin it

Detroit Breakdown I said the motor city shake down
aow Detroit Breakdown doin it doin it doin it shake it down
 ",Rousing,Cluster 1
121,Fingernails,"Ely, Joe",Best of Joe Ely,150.mp3,"I keep my fingernails long
So they Click when I play the piano
I keep my fingernails long
So they Click when I play the piano
I'm gonna keep 'em that way
Till the Swallows get back from Texarkana.

I keep my fingernails long
So they Click when I play the piano
I keep my fingernails long
So they Click when I play the piano
I'm gonna keep 'em that way
Till the Swallows get back from Louisiana.
Well, I used to chew 'em off
I was Nervous over you.
I missed that clickin', tickin' sound,
Honey, what I'm gonna do,
Is keep my fingernails long
So they Click when I play the piano
I keep my fingernails long
So they Click when I play the piano
I'm gonna keep 'em that way
Till the Swallows get back from Alabama.
 ",Rousing,Cluster 1
122,Get off of My Cloud,Rolling Stones,"Hot Rocks, 1964-1971",152.mp3,"I live in an apartment on the ninety-ninth floor of my block
And I sit at home looking out the window
Imagining the world has stopped
Then in flies a guy who's all dressed up like a Union Jack
And says, I've won five pounds if I have his kind of detergent pack
I said, Hey! You! Get off of my cloud
Hey! You! Get off of my cloud
Hey! You! Get off of my cloud
Don't hang around 'cause two's a crowd
On my cloud, baby
The telephone is ringing
I say, ""Hi, it's me.  Who is it there on the line?""
A voice says, ""Hi, hello, how are you?""
Well, I guess I'm doin' fine
He says, ""It's three a.m., there's too much noise
Don't you people ever wanna go to bed?
Just 'cause you feel so good, do you have
To drive me out of my head?""
I said, Hey! You! Get off of my cloud
Hey! You! Get off of my cloud
Hey! You! Get off of my cloud
Don't hang around 'cause two's a crowd
On my cloud baby
I was sick and tired, fed up with this
And decided to take a drive downtown
It was so very quiet and peaceful
There was nobody, not a soul around
I laid myself out, I was so tired and I started to dream
In the morning the parking tickets were just like
A flag stuck on my window screen
I said, Hey! You! Get off of my cloud
Hey! You! Get off of my cloud
Hey! You! Get off of my cloud
Don't hang around 'cause two's a crowd
On my cloud
Hey! You! Get off of my cloud
Hey! You! Get off of my cloud
Hey! You! Get off of my cloud
Don't hang around, baby, two's a crowd
 
",Rousing,Cluster 1
123,Get Out of Denver,Bob Seger & The Silver Bullet Band,Live Bullet,153.mp3,"I still remember it was autumn and the moon was shinin'
My '60 Cadillac was rollin' through Nebraska whinin'
Doin' a hundred twenty, man the fields was bendin' over
Headin' out for the mountains knowin' we was travelin' further
All our fires were blazin' and the spinnin' wheels were turnin' turnin'
Had my girl beside me brother brother she was burnin' burnin'
Up walked a Baptist preachin' southern funky school teacher
She had a line on something heavy but we couldn't reach her
We told her that we needed something that would get us goin'
She put out all she had and laid it on the counter showin'
All I had to do was lay my money down and pick it up
The cops came bustin' in and then we let out in a pickup truck and go

Get out of Denver better go go, get out of Denver better go
Get out of Denver better go go
Get out of Denver cause you look just like a commie
And you might just be a member baby, get out of Denver baby
Get out of Denver
Well the lights were flashin' and the sirens were a screamin' screamin'
We had to pinch each other just to see if we were dreamin'
Made it to Loveland Pass in under less than half an hour
Lord it started drizzlin' and it turned into a thundershower

The rain was drivin' but the Caddy kept on burnin' rubber
We kept on drivin' till we ran through some fog cover
We couldn't see a thing but somehow we just kept on going
We kept on drivin' all night long and then until the mornin'
Fog had finally lifted when we looked to see where we was at
We were starin' at a Colorado state policeman trooper cat and go

Get out of Denver better go go, get out of Denver better go
Get out of Denver better go go
Get out of Denver cause you look just like a commie
And you might just be a member baby, get out of Denver baby
Get out of Denver better go go
 ",Rousing,Cluster 1
124,Good Rockin' Tonight,"Brown, Roy [1]",Good Rocking Tonight: The Best of Roy Brown,154.mp3,"Well, I heard the news
there's good rockin' tonight.
Well, I heard the news
There's good rockin' tonight.

I'm gonna hold my baby
as tight as I can.
Tonight she'll know 
I'm a mighty, mighty man.
I heard the news, 
there's good rockin' tonight.

I say, well, meet me in a hurry 
behind the barn,
Don't you be afraid, darling,
I'll do you no harm
I want you to bring 
along my rockin' shoes,
'Cause tonight I'm gonna rock away
all my blues.
I heard the news, 
there's good rockin' tonight.

Well, we're gonna rock. We're gonna rock.
Let's rock. Come on and rock.
We're gonna rock all our blues away.

Have you heard the news?
Everybody's rockin' tonight.
Have you heard the news?
Everybody's rockin' tonight.

I'm gonna hold my baby 
as tight as I can,
Well, tonight she'll know 
I'm a mighty, mighty man.
I heard the news,
There's good rockin' tonight.

Well, we're gonna rock, rock, rock,
Come on and rock, rock, rock,
Well, rock, rock, rock, rock,
Let's rock, rock, rock, rock,
We're gonna rock all our blues away
 ",Rousing,Cluster 1
125,Good Rockin' Tonight,"Harris, Wynonie",Bloodshot Eyes: The Best of Wynonie Harris,155.mp3,"Well, I heard the news: there's good rockin' tonight 
I'm gonna hold my baby as tight as I can 
Well, tonight she'll know I'm a mighty, mighty man 
I heard the news: there's good rockin' tonight 

I said, meet me and a-hurry behind the barn 
Don't you be afraid 'cause I'll do you no harm 
I want you to bring along your rockin' shoes 
'Cause tonight we're gonna rock away all our blues 
I heard the news: there's good rockin' tonight 

Well, we're gonna rock 
We're gonna rock 
Let's rock 
Come on and rock 
We're gonna rock all our blues away 

Have you heard the news: everybody's rockin' tonight 
Have you heard the news: everybody's rockin' tonight 
I'm gonna hold my baby as tight as I can 
Well, tonight she'll know I'm a mighty, mighty man 
I heard the news: there's good rockin' tonight 

Well, we're gonna rock, rock, rock, rock 
Come on and rock, rock, rock, rock 
Let's rock, rock, rock, rock 
Well, let's rock, rock, rock, rock 
We're gonna rock all our blues away
 ",Rousing,Cluster 1
126,Great Balls of Fire,"Lewis, Jerry Lee",18 Original Sun Greatest Hits,157.mp3,"You shake my nerves and you rattle my brain
Too much love drives a man insane
You broke my will, but what a thrill
Goodness, gracious, great balls of fire!!

I laughed at love 'cause I thought it was funny
You came along and moooooved me honey
I've changed my mind, this love is fine
Goodness, gracious, great balls of fire!!

Kiss me baby, wooo feels good
Hold me baby, wellllll I want to love you like a lover should
Your fine, sooo kind
I want to tell this world that your mine mine mine mine

I chew my nails and and I twiddle my thumbs
I'm real nervous, but it sure is fun
C'mon baby, drive my crazy
Goodness, gracious, great balls of fire!!
 ",Rousing,Cluster 1
127,I Just Want to Make Love to You,"Waters, Muddy",His Best: 1947 to 1955,159.mp3,"I don't want you to be no slave
I don't want you to work all day
I don't want you to be true
I just want to make love to you

I don't want you to wash my clothes
I don't want you to keep my home
I don't want your money too
I just want to make love to you

Well I can see by the way that you switch and walk
And I can tell by the way that you baby talk
And I know by the way that you treat your man
I wanna love you baby, it's a cryin' shame

I don't want you to bake my bread
I don't want you to make my bed
I don't want you cause I'm sad and blue
I just want to make love to you
 
",Rousing,Cluster 1
